County,Zip,MedianIncome,TreeDBH,Good,Fair,Poor,TreeCount
Astoria,11101,64705.18055,8.373805855161788,2429,623,193,3245
Astoria,11102,64705.18055,9.77925211097708,1319,258,81,1658
Astoria,11103,64705.18055,9.323411816970236,1875,294,82,2251
Astoria,11105,64705.18055,11.890159574468084,3085,550,125,3760
Astoria,11106,64705.18055,11.555258942872396,1586,228,59,1873
Battery Park/Tribeca,10280,137034.3496,8.155555555555555,349,40,16,405
Battery Park/Tribeca,10004,137034.3496,6.658119658119658,97,17,3,117
Battery Park/Tribeca,10006,137034.3496,6.375,42,6,0,48
Battery Park/Tribeca,10282,137034.3496,7.930434782608696,216,12,2,230
Battery Park/Tribeca,10281,137034.3496,7.71830985915493,48,20,3,71
Battery Park/Tribeca,10007,137034.3496,6.284023668639053,274,49,15,338
Battery Park/Tribeca,10013,137034.3496,6.782685512367491,768,274,90,1132
Bay Ridge,11209,72221.47289,14.599898921832883,5203,588,145,5936
Bayside,11360,88873.98685,14.194154488517745,1882,431,82,2395
Bayside,11361,88873.98685,14.5,4891,814,233,5938
Bayside,11364,88873.98685,15.603030753231318,5555,923,253,6731
Bedford Park,10458,35830.27778,8.631382316313823,2559,508,145,3212
Bedford Park,10468,35830.27778,10.302589570769776,2273,459,87,2819
Bedford Stuyvesant,11205,44361.8305,10.93026941362916,2129,328,67,2524
Bensonhurst,11214,56124.2671,12.29734939759036,3512,536,102,4150
Bensonhurst,11223,56124.2671,15.032375979112272,4597,939,209,5745
Bensonhurst,11230,56124.2671,13.70981828426539,5452,1258,389,7099
Borough Park,11204,48431.84671,14.825915369436528,3978,439,144,4561
Borough Park,11219,48431.84671,12.414359455654624,3590,530,142,4262
Brownsville,11212,30357.96822,12.783878213127029,3461,451,95,4007
Bushwick,11221,48455.40524,10.18216740800647,4058,744,144,4946
Bushwick,11237,48455.40524,8.388647866955893,1892,665,209,2766
Bushwick,11207,48455.40524,9.53876763535512,6564,1387,342,8293
Canarsie,11234,77512.04523,15.837054807159992,9227,1270,341,10838
Central Harlem,10026,51652.63407,9.537026568682872,1285,380,104,1769
Central Harlem,10030,51652.63407,8.534653465346535,1067,209,37,1313
Central Harlem,10001,51652.63407,7.365882352941177,719,100,31,850
Central Harlem,10031,51652.63407,8.759364820846905,1912,418,126,2456
Chelsea/Clinton,10018,114736.7635,6.047619047619048,384,38,19,441
Chelsea/Clinton,10036,114736.7635,7.866342648845687,605,158,60,823
Chelsea/Clinton,10019,114736.7635,7.672019765287215,1066,442,111,1619
Concourse/Highbridge,10451,29310.17463,7.599470666078518,1632,448,187,2267
Concourse/Highbridge,10452,29310.17463,8.336748182419035,2288,570,168,3026
Coney Island,11224,45189.74449,7.8433128147733635,1185,492,110,1787
Coney Island,11218,45189.74449,13.431041844577283,3878,638,168,4684
Crown Heights North,11238,51286.91597,11.151215602457922,3030,592,121,3743
Crown Heights North,11216,51286.91597,10.843731778425656,2765,558,107,3430
Crown Heights North,11233,51286.91597,10.383525822619308,3952,528,109,4589
Crown Heights South,11225,50709.17111,12.759942672877106,2326,393,72,2791
Crown Heights South,11213,50709.17111,12.355060034305318,2830,568,100,3498
East Flatbush,11203,56454.0865,14.34348974202722,4406,398,119,4923
East Flatbush,11236,56454.0865,14.941714462873971,4889,1229,333,6451
East Harlem,10029,33721.22858,8.043264942016057,1579,542,121,2242
East Harlem,10035,33721.22858,8.350989834135902,1438,292,139,1869
East New York,11208,39375.27536,8.27241641337386,6451,1053,392,7896
East New York,11239,39375.27536,11.144805876180484,800,100,53,953
East Tremont,10457,26979.00217,7.776584867075664,2720,920,272,3912
East Tremont,10460,26979.00217,8.04798962386511,2569,401,114,3084
Elmhurst/Corona,11368,49063.43964,11.045344325897188,3296,628,200,4124
