11102,{'Fair': 258, 'Good': 1319, 'Poor': 81}
11427,{'Good': 3056, 'Poor': 180, 'Fair': 906}
11414,{'Good': 3487, 'Fair': 709, 'Poor': 185}
11207,{'Good': 6564, 'Fair': 1387, 'Poor': 342}
11233,{'Good': 3952, 'Fair': 528, 'Poor': 109}
11206,{'Good': 3043, 'Fair': 674, 'Poor': 134}
11692,{'Fair': 523, 'Good': 1122, 'Poor': 218}
10013,{'Poor': 90, 'Good': 768, 'Fair': 274}
10280,{'Good': 349, 'Poor': 16, 'Fair': 40}
10128,{'Good': 1502, 'Fair': 394, 'Poor': 138}
11220,{'Good': 3744, 'Fair': 535, 'Poor': 171}
10028,{'Good': 1229, 'Poor': 132, 'Fair': 354}
10456,{'Good': 3042, 'Fair': 529, 'Poor': 183}
10460,{'Good': 2569, 'Poor': 114, 'Fair': 401}
11418,{'Good': 2737, 'Fair': 362, 'Poor': 111}
10465,{'Good': 4437, 'Fair': 459, 'Poor': 129}
11228,{'Good': 3048, 'Poor': 114, 'Fair': 461}
11103,{'Fair': 294, 'Good': 1875, 'Poor': 82}
10309,{'Good': 9889, 'Fair': 1623, 'Poor': 593}
10466,{'Good': 4151, 'Fair': 503, 'Poor': 149}
11377,{'Fair': 764, 'Poor': 210, 'Good': 4435}
11221,{'Poor': 144, 'Good': 4058, 'Fair': 744}
10463,{'Good': 2896, 'Fair': 495, 'Poor': 162}
11225,{'Fair': 393, 'Good': 2326, 'Poor': 72}
10022,{'Good': 1172, 'Poor': 91, 'Fair': 311}
10001,{'Good': 719, 'Fair': 100, 'Poor': 31}
11434,{'Fair': 816, 'Good': 6797, 'Poor': 220}
11224,{'Good': 1185, 'Fair': 492, 'Poor': 110}
11236,{'Poor': 333, 'Good': 4889, 'Fair': 1229}
10032,{'Good': 1481, 'Fair': 418, 'Poor': 173}
10304,{'Good': 4738, 'Poor': 194, 'Fair': 720}
10307,{'Good': 4548, 'Fair': 578, 'Poor': 176}
11367,{'Good': 4357, 'Fair': 555, 'Poor': 115}
11213,{'Fair': 568, 'Poor': 100, 'Good': 2830}
11366,{'Fair': 312, 'Good': 2561, 'Poor': 49}
10029,{'Good': 1579, 'Fair': 542, 'Poor': 121}
10310,{'Fair': 253, 'Good': 3162, 'Poor': 79}
10459,{'Good': 2436, 'Poor': 87, 'Fair': 387}
11416,{'Good': 1417, 'Fair': 240, 'Poor': 53}
11208,{'Good': 6451, 'Poor': 392, 'Fair': 1053}
11104,{'Fair': 316, 'Good': 1233, 'Poor': 66}
11426,{'Poor': 200, 'Good': 3829, 'Fair': 817}
10031,{'Good': 1912, 'Fair': 418, 'Poor': 126}
11420,{'Good': 4356, 'Fair': 666, 'Poor': 178}
10301,{'Fair': 782, 'Good': 4776, 'Poor': 221}
11360,{'Fair': 431, 'Good': 1882, 'Poor': 82}
11411,{'Good': 2537, 'Fair': 384, 'Poor': 140}
10454,{'Good': 1297, 'Fair': 302, 'Poor': 60}
10473,{'Good': 3654, 'Fair': 453, 'Poor': 129}
10462,{'Fair': 432, 'Good': 3491, 'Poor': 125}
11422,{'Fair': 748, 'Good': 5117, 'Poor': 213}
11417,{'Good': 2990, 'Fair': 388, 'Poor': 85}
10034,{'Poor': 115, 'Fair': 378, 'Good': 1013}
10474,{'Fair': 328, 'Good': 2022, 'Poor': 112}
10018,{'Good': 384, 'Fair': 38, 'Poor': 19}
10303,{'Good': 2318, 'Fair': 534, 'Poor': 218}
10069,{'Good': 56, 'Fair': 55, 'Poor': 1}
10040,{'Good': 1012, 'Fair': 337, 'Poor': 102}
11435,{'Good': 3633, 'Fair': 557, 'Poor': 157}
11363,{'Good': 2004, 'Poor': 161, 'Fair': 567}
11004,{'Good': 3353, 'Fair': 548, 'Poor': 104}
10471,{'Good': 1505, 'Fair': 255, 'Poor': 44}
10033,{'Good': 1301, 'Fair': 414, 'Poor': 137}
10035,{'Fair': 292, 'Good': 1438, 'Poor': 139}
83,{'Good': 885, 'Fair': 39, 'Poor': 8}
10472,{'Fair': 348, 'Good': 2852, 'Poor': 101}
10005,{'Good': 59, 'Fair': 57, 'Poor': 14}
10469,{'Good': 5378, 'Fair': 731, 'Poor': 209}
11433,{'Good': 2962, 'Poor': 138, 'Fair': 429}
10037,{'Good': 512, 'Fair': 114, 'Poor': 33}
