11375,5566,981,195
11357,8092,758,167
11211,3357,493,116
11215,5007,896,247
10023,1756,375,72
10019,1066,442,111
10305,5496,887,252
11223,4597,939,209
11105,3085,550,125
10308,5223,1246,337
11205,2129,328,67
11212,3461,451,95
11214,3512,536,102
11226,3120,460,126
11373,3146,696,172
10021,1368,350,167
10024,2763,370,98
10306,10446,1801,369
11217,2411,622,122
11415,1199,350,117
11230,5452,1258,389
10002,1656,387,115
11385,7428,2148,686
10457,2720,920,272
11235,3228,1276,259
10009,1458,307,89
10012,725,238,67
10314,13328,2340,662
11204,3978,439,144
11229,4623,857,295
11365,5959,925,244
10312,16691,3594,1071
10458,2559,508,145
10016,1206,445,134
10011,1769,195,76
11370,2433,433,157
11231,2677,625,192
10025,2796,576,198
11372,2510,503,142
10467,3388,530,161
10453,2249,520,105
11209,5203,588,145
11358,5901,606,167
10027,2214,443,188
11203,4406,398,119
11355,4125,662,206
10115,4,3,0
11210,4341,618,216
10014,1918,460,125
11374,2300,482,127
11691,3761,1258,343
11237,1892,665,209
11238,3030,592,121
11368,3296,628,200
11413,5895,948,279
11429,2289,301,141
10470,1088,182,55
11369,2623,396,112
10075,647,147,77
11106,1586,228,59
10010,707,102,32
11421,2328,328,59
11693,518,288,207
10003,1480,361,102
11218,3878,638,168
11201,3244,927,186
10065,1217,457,157
11694,1958,833,385
11222,2922,519,142
11354,4431,939,194
10468,2273,459,87
11234,9227,1270,341
10036,605,158,60
10017,592,165,55
10038,251,87,18
11232,1653,276,68
10048,8,3,0
10026,1285,380,104
11101,2429,623,193
11219,3590,530,142
11412,4112,283,53
11361,4891,814,233
11364,5555,923,253
11432,5579,831,205
11356,2249,587,110
10452,2288,570,168
11362,3693,462,108
11216,2765,558,107
11249,1577,126,39
10461,4780,447,153
11102,1319,258,81
11427,3056,906,180
11414,3487,709,185
11207,6564,1387,342
11233,3952,528,109
11206,3043,674,134
11692,1122,523,218
10013,768,274,90
10280,349,40,16
10128,1502,394,138
11220,3744,535,171
10028,1229,354,132
10456,3042,529,183
10460,2569,401,114
11418,2737,362,111
10465,4437,459,129
11228,3048,461,114
11103,1875,294,82
10309,9889,1623,593
10466,4151,503,149
11377,4435,764,210
11221,4058,744,144
10463,2896,495,162
11225,2326,393,72
10022,1172,311,91
10001,719,100,31
11434,6797,816,220
11224,1185,492,110
11236,4889,1229,333
10032,1481,418,173
10304,4738,720,194
10307,4548,578,176
11367,4357,555,115
11213,2830,568,100
11366,2561,312,49
10029,1579,542,121
10310,3162,253,79
10459,2436,387,87
11416,1417,240,53
11208,6451,1053,392
11104,1233,316,66
11426,3829,817,200
10031,1912,418,126
11420,4356,666,178
10301,4776,782,221
11360,1882,431,82
11411,2537,384,140
10454,1297,302,60
10473,3654,453,129
10462,3491,432,125
11422,5117,748,213
11417,2990,388,85
10034,1013,378,115
10474,2022,328,112
10018,384,38,19
10303,2318,534,218
10069,56,55,1
10040,1012,337,102
11435,3633,557,157
11363,2004,567,161
11004,3353,548,104
10471,1505,255,44
10033,1301,414,137
10035,1438,292,139
00083,885,39,8
10472,2852,348,101
10005,59,57,14
10469,5378,731,209
11433,2962,429,138
10037,512,114,33
10004,97,17,3
10007,274,49,15
10475,1500,252,44
11697,0,8,16
10039,664,92,16
11379,3916,636,115
11423,2986,330,91
11428,1907,550,158
11040,678,107,55
11378,2995,703,99
10030,1067,209,37
10302,2054,177,66
10455,1523,299,78
10451,1632,448,187
10020,66,26,2
11001,1184,88,14
11005,104,43,6
11436,2014,224,37
11419,1994,483,148
10111,22,3,0
10281,48,20,3
11239,800,100,53
10464,873,129,36
10282,216,12,2
10006,42,6,0
11109,78,6,6
11096,9,0,0
11430,37,0,0
11371,98,14,4
11451,7,1,1
11251,47,26,19
